last_obs_date,ibex_ret_1w,ibex_days,ibex_nstocks,date,macro_sent_w,macro_signal_w,macro_docs_w,macro_days
2024-01-05,0.011247861403282162,4,17.0,2023-12-30,,,,
2024-01-12,0.006453114161594985,5,17.0,2024-01-06,,,,
2024-01-19,-0.023594796951175695,5,17.0,2024-01-13,,,,
2024-01-26,0.010591524545297331,5,17.0,2024-01-20,,,,
2024-02-02,-0.0010315511024458078,5,17.0,2024-01-27,,,,
2024-02-09,-0.01663849527196866,5,17.0,2024-02-03,,,,
2024-02-16,-0.0056462173925461556,5,17.0,2024-02-10,,,,
2024-02-23,0.020389252590062648,5,17.0,2024-02-17,,,,
2024-03-01,-0.014800254003455917,5,17.0,2024-02-24,,,,
2024-03-08,0.018589282971378185,5,17.0,2024-03-02,,,,
2024-03-15,0.013272929942633968,5,17.0,2024-03-09,,,,
2024-03-22,0.025865696263712747,5,17.0,2024-03-16,,,,
2024-03-28,0.010570570347173035,4,17.0,2024-03-23,,,,
2024-04-05,-0.015703321476051208,4,17.0,2024-03-30,,,,
2024-04-12,-0.0008200388072103961,5,17.0,2024-04-06,,,,
2024-04-19,0.002040514150801778,5,17.0,2024-04-13,,,,
2024-04-26,0.021737990302113677,5,17.0,2024-04-20,,,,
2024-05-03,-0.007402912031263197,4,17.0,2024-04-27,,,,
2024-05-10,0.021211874708653558,5,17.0,2024-05-04,,,,
2024-05-17,0.019702742463078883,5,17.0,2024-05-11,,,,
2024-05-24,-0.007314614028037529,5,17.0,2024-05-18,,,,
2024-05-31,0.010389786283428003,5,17.0,2024-05-25,,,,
2024-06-07,0.00781029792894822,5,17.0,2024-06-01,,,,
2024-06-14,-0.04002555287952461,5,17.0,2024-06-08,,,,
2024-06-21,0.004888356665849785,5,17.0,2024-06-15,,,,
2024-06-28,-0.010311687581903276,5,17.0,2024-06-22,,,,
2024-07-05,0.0171649053645019,5,17.0,2024-06-29,,,,
2024-07-12,0.018104090947291547,5,17.0,2024-07-06,,,,
2024-07-19,-0.012049948578225906,5,17.0,2024-07-13,,,,
2024-07-26,0.0034693647471160105,5,17.0,2024-07-20,,,,
2024-08-02,-0.027755366855980082,5,17.0,2024-07-27,,,,
2024-08-09,-0.0043948927394804535,5,17.0,2024-08-03,,,,
2024-08-16,0.023414922834800008,5,17.0,2024-08-10,,,,
2024-08-23,0.021019837203003947,5,17.0,2024-08-17,,,,
2024-08-30,0.010510304497201995,5,17.0,2024-08-24,,,,
2024-09-06,-0.013589183468872801,5,17.0,2024-08-31,,,,
2024-09-13,0.022080070972802616,5,17.0,2024-09-07,,,,
2024-09-20,0.01001638258860733,5,17.0,2024-09-14,,,,
2024-09-27,0.024310750672752922,5,17.0,2024-09-21,,,,
2024-10-04,-0.018946096464041322,5,17.0,2024-09-28,,,,
2024-10-11,0.0011943341526052358,5,17.0,2024-10-05,,,,
2024-10-18,0.01686878100764049,5,17.0,2024-10-12,,,,
2024-10-25,-0.01041818391945705,5,17.0,2024-10-19,,,,
2024-11-01,0.0037726588651950006,5,17.0,2024-10-26,,,,
2024-11-08,-0.01963174935725883,5,17.0,2024-11-02,,,,
2024-11-15,0.0063563565057030025,5,17.0,2024-11-09,,,,
2024-11-22,0.00590542635842404,5,17.0,2024-11-16,,,,
2024-11-29,0.0063025665628059155,5,17.0,2024-11-23,,,,
2024-12-06,0.02608354255707568,5,17.0,2024-11-30,,,,
2024-12-13,-0.022816614780936655,5,17.0,2024-12-07,,0.0,1.0,0.0
2024-12-20,-0.022754320379916072,5,17.0,2024-12-14,,,,
2024-12-27,0.004549589772650069,3,17.0,2024-12-21,,,,
2025-01-03,0.013337654998619615,4,16.0,2024-12-28,,,,
2025-01-10,-0.0072896137334783236,5,15.0,2025-01-04,,,,
2025-01-17,0.018967244212747328,5,15.0,2025-01-11,,,,
2025-01-24,-0.000509611080520952,5,15.0,2025-01-18,,,,
2025-01-31,0.024417083434309737,5,15.0,2025-01-25,,,,
2025-02-07,0.01965132221805979,5,15.0,2025-02-01,,,,
2025-02-14,0.014101352149721828,5,15.0,2025-02-08,,,,
2025-02-21,0.0034422463356567736,5,15.0,2025-02-15,,,,
2025-02-28,0.01798625653371122,5,15.0,2025-02-22,,,,
2025-03-07,0.0006574495743101238,5,15.0,2025-03-01,,,,
2025-03-14,-0.008689761786140011,5,15.0,2025-03-08,,,,
2025-03-21,0.02619628138020286,5,15.0,2025-03-15,,,,
2025-03-28,0.007081866971889372,5,15.0,2025-03-22,,,,
2025-04-04,-0.04589464605499585,5,15.0,2025-03-29,,0.0,1.0,0.0
2025-04-11,-0.025220492625755542,5,15.0,2025-04-05,,,,
2025-04-17,0.05234206368752457,4,15.0,2025-04-12,,,,
2025-04-25,0.024793794613113623,4,15.0,2025-04-19,0.6528183221817017,1.0,1.0,1.0
2025-05-02,0.016791211394439856,4,15.0,2025-04-26,,0.0,1.0,0.0
2025-05-09,-0.008163588214845278,5,15.0,2025-05-03,,,,
2025-05-16,0.030227475041463052,5,15.0,2025-05-10,,0.0,2.0,0.0
2025-05-23,0.007664769013703919,5,15.0,2025-05-17,0.6375079154968262,0.5,2.0,1.0
