date,y_reg_5d,y_cls_5d
2021-11-30,0.030172040335089627,1
2021-12-01,0.0030477586937089603,1
2021-12-02,0.011832166992060036,1
2021-12-03,0.014275716597651075,1
2021-12-06,-0.013960041208189245,0
2021-12-07,-0.021372876374054273,0
2021-12-08,-0.024282877566194842,0
2021-12-09,-0.0023361246686425625,0
2021-12-10,-0.005830291171588168,0
2021-12-13,-0.009695133845491095,0
2021-12-14,0.001073601439158386,1
2021-12-15,0.0220038175391301,1
2021-12-16,0.021684448067244743,1
2021-12-17,0.03667654674364549,1
2021-12-20,0.05275478290252675,1
2021-12-21,0.03355297891560659,1
2021-12-22,0.02966521464326024,1
2021-12-23,0.02280054159956032,1
2021-12-27,0.01994568343114454,1
2021-12-28,0.011659303908698569,1
2021-12-29,0.013307898294896358,1
2021-12-30,0.004351417736600158,1
